,Angle,Left Hip X,Left Hip Y,Right Hip X,Right Hip Y,Left Knee X,Left Knee Y,Right Knee X,Right Knee Y,Left Foot X,Left Foot Y,Right Foot X,Right Foot Y
181,137.7482675,0.422144115,0.47916314,0.423805565,0.480343252,0.505798459,0.626650512,0.514036119,0.615765154,0.517400146,0.626650512,0.514036119,0.942094743
182,127.3977282,0.422885746,0.5077824,0.423592895,0.513328314,0.514033914,0.626932502,0.519759357,0.619773686,0.508875012,0.626932502,0.519759357,0.942047358
183,118.4561109,0.424169928,0.529667258,0.416514486,0.529198766,0.519933522,0.62419796,0.52101469,0.619599998,0.509052396,0.62419796,0.52101469,0.942187309
184,115.0385974,0.424972117,0.537272453,0.418540657,0.552691579,0.521839738,0.624403596,0.524174452,0.623683572,0.506261885,0.624403596,0.524174452,0.942432046
185,110.0182973,0.415646791,0.549968302,0.413513958,0.556695282,0.520125091,0.628544927,0.524749815,0.623164117,0.5065611,0.628544927,0.524749815,0.942270339
186,112.0249452,0.409534276,0.54065156,0.405984163,0.551832318,0.518260598,0.627535105,0.523839235,0.624666154,0.505642414,0.627535105,0.523839235,0.942159534
187,124.5625781,0.39993149,0.530044675,0.403884709,0.551154971,0.494916499,0.633509874,0.523645937,0.620678604,0.498316139,0.633509874,0.523645937,0.932858765
188,142.0535377,0.399635851,0.455915779,0.406551421,0.449109644,0.488281399,0.632204294,0.511365056,0.615410745,0.500247121,0.632204294,0.511365056,0.93119508
189,152.9000006,0.404278666,0.384607643,0.406448275,0.387773484,0.480067343,0.600392342,0.490049452,0.610151827,0.511824071,0.600392342,0.490049452,0.931496501
190,164.6537671,0.421415329,0.347480446,0.409435272,0.343073875,0.471195459,0.58736366,0.47135058,0.600992203,0.519959152,0.58736366,0.47135058,0.9306072
191,168.1626337,0.422777504,0.338082731,0.423777968,0.332945973,0.463446319,0.581642449,0.461737484,0.597362578,0.518995047,0.581642449,0.461737484,0.931279898
192,170.5205986,0.422888279,0.34903118,0.438693941,0.348945588,0.457158387,0.586722076,0.461576611,0.596750438,0.517753124,0.586722076,0.461576611,0.931586385
193,167.4695661,0.42039746,0.335544318,0.445655823,0.341755211,0.464141756,0.582701325,0.463610083,0.598311543,0.517531753,0.582701325,0.463610083,0.93712461
194,169.5304927,0.432046413,0.34381929,0.447113127,0.341725975,0.466029495,0.581415117,0.468148291,0.597646713,0.516957641,0.581415117,0.468148291,0.938216627
195,172.0139888,0.431049287,0.347851396,0.449499607,0.34489736,0.459829867,0.583955526,0.469246566,0.597712398,0.514169097,0.583955526,0.469246566,0.938201845
196,172.8773909,0.436517894,0.34288469,0.448073208,0.34547025,0.46189481,0.584871113,0.468321234,0.598813176,0.513941824,0.584871113,0.468321234,0.938202441
197,174.9274547,0.439975977,0.352636307,0.445270628,0.354748845,0.46298185,0.587985396,0.470089763,0.601153255,0.517648041,0.587985396,0.470089763,0.940064669
198,170.7314889,0.445399582,0.354895949,0.439599186,0.359468848,0.474262297,0.588973761,0.471322834,0.605790615,0.517418921,0.588973761,0.471322834,0.939901412
199,164.1022853,0.442084789,0.387581974,0.436304241,0.389470726,0.485539854,0.607962728,0.496303409,0.614909053,0.518663228,0.607962728,0.496303409,0.937533498
200,156.7213651,0.440830708,0.431824356,0.436251163,0.431270301,0.495384127,0.623409808,0.51052177,0.619942546,0.520781398,0.623409808,0.51052177,0.931776166
201,141.9480493,0.439451993,0.474587679,0.434708834,0.47343111,0.514148355,0.624868333,0.522067606,0.620461583,0.521063209,0.624868333,0.522067606,0.931876063
202,130.1831497,0.433253348,0.496534348,0.430616856,0.497704327,0.522963703,0.626059771,0.525101244,0.624112546,0.520660341,0.626059771,0.525101244,0.93304801
203,123.7258728,0.429188788,0.513967872,0.427444756,0.513950109,0.524506629,0.62652564,0.525907159,0.62545079,0.516724408,0.62652564,0.525907159,0.933775008
204,113.8842632,0.416383594,0.530582786,0.416022629,0.531748891,0.526854336,0.626068473,0.529534221,0.625275016,0.516336501,0.626068473,0.529534221,0.935052812
205,112.4259526,0.40925321,0.538067818,0.403784841,0.540475011,0.524225652,0.624857008,0.525832295,0.625832677,0.532250106,0.624857008,0.525832295,0.935962677
206,115.8726199,0.404906899,0.520382166,0.397719532,0.530806959,0.520718634,0.617308617,0.522811949,0.626025081,0.513894022,0.617308617,0.522811949,0.936130524
207,114.2516003,0.400405169,0.51669836,0.39667815,0.530196846,0.519720197,0.612748265,0.522474945,0.621175349,0.514890254,0.612748265,0.522474945,0.936041713
208,130.5500444,0.401494652,0.459742576,0.401133209,0.465180963,0.510326743,0.611053944,0.515551388,0.618846953,0.512708127,0.611053944,0.515551388,0.936000645
209,147.7675979,0.403263003,0.395989597,0.403496355,0.393745303,0.493071884,0.593472958,0.495676339,0.606458187,0.521383107,0.593472958,0.495676339,0.936604381
210,163.7981208,0.411575228,0.350668073,0.407688528,0.336778581,0.466440856,0.592780828,0.468680918,0.601489842,0.516974628,0.592780828,0.468680918,0.939295292
211,168.1435646,0.433731019,0.334989011,0.419099897,0.322729826,0.467515707,0.578756988,0.461825281,0.595610738,0.516638517,0.578756988,0.461825281,0.943193078
212,170.7716849,0.437629074,0.326857299,0.431546628,0.309216917,0.464417756,0.57230103,0.462215483,0.588482201,0.516228795,0.57230103,0.462215483,0.943074048
213,170.0544528,0.436594903,0.311497062,0.438586146,0.31526649,0.466121972,0.571094096,0.46326369,0.5911659,0.51619792,0.571094096,0.46326369,0.944482565
214,172.282054,0.442277431,0.312910855,0.442223877,0.307780474,0.463570923,0.56965059,0.462286472,0.588330686,0.514789939,0.56965059,0.462286472,0.945006788
215,171.2616043,0.439242363,0.325780302,0.443599373,0.320744991,0.46200794,0.572395027,0.464967966,0.589937449,0.511289716,0.572395027,0.464967966,0.944931805
216,171.0890129,0.441037238,0.326058924,0.442146599,0.325899452,0.463399231,0.574263752,0.466563761,0.590811014,0.511501908,0.574263752,0.466563761,0.944813728
217,171.2124334,0.44393307,0.334958851,0.442165136,0.333804905,0.464972585,0.575968862,0.466807067,0.59148258,0.509557962,0.575968862,0.466807067,0.943961024
218,170.3993476,0.447054386,0.339040488,0.442469984,0.337272465,0.47399348,0.583922029,0.470775843,0.596220016,0.509581506,0.583922029,0.470775843,0.943162978
219,165.4412652,0.445010245,0.369745076,0.441493034,0.370116264,0.482025802,0.599081397,0.491613448,0.606563032,0.511039197,0.599081397,0.491613448,0.940906703
220,157.0363631,0.433181703,0.408220321,0.439006895,0.409241855,0.490572393,0.619339943,0.507076859,0.613702893,0.515587747,0.619339943,0.507076859,0.931991518
221,141.4380705,0.432865143,0.457070529,0.432656586,0.453879684,0.516163468,0.622980773,0.516289234,0.622830987,0.524823308,0.622980773,0.516289234,0.932263076
222,130.4758324,0.427276194,0.488716543,0.42805624,0.490689963,0.522843957,0.621179461,0.521246314,0.622457862,0.522034526,0.621179461,0.521246314,0.933308601
223,122.5860783,0.426840156,0.513539433,0.42532897,0.520650923,0.525660634,0.621922374,0.524906754,0.625503838,0.515346944,0.621922374,0.524906754,0.936189294
224,113.2445343,0.426461995,0.540479183,0.418544471,0.546963632,0.530021667,0.628464699,0.529552221,0.632021487,0.515183985,0.628464699,0.529552221,0.940897703
225,113.1150325,0.415149748,0.536195695,0.406349361,0.538152456,0.526776671,0.632379174,0.528356373,0.631886184,0.511181951,0.632379174,0.528356373,0.942768276
226,119.1417296,0.401117265,0.505004883,0.406378418,0.508645952,0.522244573,0.629895627,0.523360372,0.629241884,0.509295821,0.629895627,0.523360372,0.941087008
227,139.4988862,0.395940095,0.441451937,0.406184852,0.441939086,0.499043852,0.623472571,0.513956368,0.621917784,0.51999253,0.623472571,0.513956368,0.935568988
228,160.7908654,0.40938583,0.370908231,0.404364675,0.354562014,0.469212234,0.594069123,0.470771849,0.603687048,0.521605253,0.594069123,0.470771849,0.933826268
229,171.0649201,0.426597536,0.341251642,0.406296909,0.331414282,0.4574067,0.581200004,0.440830559,0.593979239,0.5186131,0.581200004,0.440830559,0.925874829
230,167.8429498,0.431152195,0.315294504,0.407590091,0.320528865,0.469918072,0.584495783,0.430448383,0.594537437,0.508494854,0.584495783,0.430448383,0.929888129
231,170.8223799,0.458339065,0.318694353,0.408521414,0.304843217,0.475870758,0.586160362,0.414384782,0.597123623,0.476289034,0.586160362,0.414384782,0.942253888
232,162.4950548,0.455347598,0.344754606,0.405848831,0.331010401,0.492207766,0.587902486,0.406958252,0.597638547,0.483988196,0.587902486,0.406958252,0.946597457
233,173.9506773,0.461910158,0.323176771,0.393994391,0.309854835,0.478569895,0.589473188,0.397889882,0.594345152,0.453459829,0.589473188,0.397889882,0.959579468
234,-177.5650861,0.460272133,0.337882072,0.386891931,0.320997775,0.454628766,0.637517631,0.396770716,0.618545473,0.412675768,0.637517631,0.396770716,0.975549459
235,-179.9699425,0.461589247,0.349707156,0.373131871,0.331178337,0.439745665,0.718839765,0.383275688,0.685393691,0.372340262,0.718839765,0.383275688,1.028258443
236,-180.3950555,0.464322746,0.34392938,0.371224105,0.324937969,0.436813444,0.746793032,0.33899194,0.661962152,0.391464472,0.746793032,0.33899194,1.013634801
237,-181.6247668,0.465063006,0.320911527,0.354023993,0.301986933,0.437313646,0.7253111,0.322584569,0.695757568,0.399100095,0.7253111,0.322584569,1.159361839
238,-183.2502445,0.46273011,0.317611367,0.330567688,0.295052916,0.434399128,0.725797534,0.29172045,0.712862909,0.383232623,0.725797534,0.29172045,1.20238483
239,-178.6555328,0.444178522,0.260355175,0.292324543,0.277149796,0.420893759,0.703056872,0.268958062,0.696638703,0.410502106,0.703056872,0.268958062,1.230832577
240,-178.529367,0.439929545,0.236553252,0.290653884,0.272518575,0.429292291,0.696895838,0.26400736,0.631573677,0.420454741,0.696895838,0.26400736,1.237053156
241,179.1906078,0.465130389,0.24746117,0.311290234,0.263937294,0.465683997,0.704827607,0.266958117,0.632758558,0.480682671,0.704827607,0.266958117,1.248852849
242,177.4321365,0.497862488,0.274205834,0.320613444,0.299668998,0.503596544,0.781992435,0.294380486,0.749207735,0.486239046,0.781992435,0.294380486,1.264574885
243,187.7546029,0.543412149,0.282326043,0.375160724,0.313143522,0.592998743,0.757010221,0.361999273,0.761060834,0.699853241,0.757010221,0.361999273,1.238536119
244,174.5923292,0.52152735,0.288119942,0.372043639,0.306348354,0.566967726,0.745448828,0.360618114,0.734040856,0.591065764,0.745448828,0.360618114,1.209349871
245,176.6199406,0.521479368,0.277987838,0.36054942,0.306337893,0.545360625,0.741470575,0.359841496,0.758522213,0.550930023,0.741470575,0.359841496,1.205477476
246,174.7384324,0.516982019,0.307137072,0.361429691,0.319412827,0.540093303,0.739260197,0.36148113,0.742036164,0.538244367,0.739260197,0.36148113,1.204060078
